Content ID,en,zh,fr,de,it,ko,pl,ru,es
'TRSO',,Otherknownoise,,,,,,,
'LNAM',English,中文,français,Deutsche,italiano,한국어,Polskie,русский,Español
'LTIT',Language,语言,Langue,Sprache,linguaggio,언어,Język,Язык,Idioma
'CAFK',AFK,AFK,AFK,AFK,AFK,AFK,AFK,АФК,AFK
'UONL',{0} has left the game!,{0}已经离开了游戏！,{0} a quitté le jeu!,{0} hat das Spiel verlassen!,{0} ha lasciato il gioco!,{0} 게임을 남겼습니다!,{0} opuścił grę!,{0} покинул игру!,{0} ha dejado el juego!
'UMPS',Player Stats,玩家状态,Statistiques du joueur,Spielerstatistik,Statistiche giocatore,플레이어 통계,Statystyki zawodnika,Статистика игрока,Estadísticas de los jugadores
'UMPN',Player Name,玩家名称,Nom de joueur,Spielername,Nome del giocatore,선수 이름,Nazwa gracza,Имя игрока,Nombre del jugador
'UMOL',On Level,在关卡,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
'UMSC',Score,得分,But,Ergebnis,Punto,점수,Wynik,Счет,Puntaje
'UMCC',Continues,继续,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
'UMDC',Deaths,死亡,Des morts,Todesfälle,Deceduti,사망자,Zgony,Летальные исходы,Fallecidos
'UMNP',Not Playing,未在游戏,Ne joue pas,Nicht spielen,non Giocare,재생되지 않음,Nie gra,Не играю,No jugar
'UMLG',Left the game,离开了游戏,A gauche le jeu,Das Spiel verlassen,Ha abbandonato la partita,게임을 왼쪽,Wyszedł z gry,Покинул игру,Ha dejado el juego
'UMGN',Gone,离开,Disparu,Weg,Andato,지나간,Odszedł,Ушел,Desaparecido
'UMNE',Negative,负,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
'UMZE',Zilch,没有,Rien,Nichts,Niente,아무것도,Nic,Ничего,Nada
'UMTM',Too many,太多,Trop,Zu viele,Troppi,너무 많아,Za dużo,Очень много,Demasiados
'UCTR',Camera tracking: {0},镜头追踪：{0},suivi de la caméra: {0},Die Kameraführung: {0},La rilevazione della telecamera: {0},카메라 추적 : {0},śledzenia kamera: {0},камеры слежения: {0},seguimiento de la cámara: {0}
'UCTT',ON,开,sur,auf,su,의 위에,na,на,en
'UCTF',OFF,关,désactivé,aus,via,떨어져서,poza,выключенный,apagado
'USAF',(AFK),(AFK),(AFK),(AFK),(AFK),(AFK),(AFK),(АФК),(AFK)
'USLE',(Left),（剩余）,(Gauche),(Links),(Sinistra),(왼쪽),(Lewo),(Оставили),(Izquierda)
'UAUN',Unpausing,取消暂停,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
'UAIN',{0} in ,{0}在,{0} dans,{0} in,{0} in,{0}에,{0} w,{0} в,{0} en
'UADE',Dead,死,Morte,tot,Morto,죽은,Nie żyje,мертв,Muerto
'UAAT',{0} is now AFK,{0}现在AFK,{0} est maintenant AFK,{0} ist jetzt AFK,{0} è ora AFK,{0} 지금 AFK,{0} jest AFK,{0} теперь АФК,{0} es ahora AFK
'UAAF',{0} is no longer AFK,{0}不再AFK,{0} est plus AFK,{0} ist nicht mehr AFK,{0} non è più AFK,{0} 더 이상 AFK는 없다,{0} nie AFK,{0} больше не является АФК,{0} ya no es AFK
'TGRE',Red,红色,rouge,rot,Rosso,빨간,Czerwony,красный,rojo
'TGBL',Blue,蓝色,Bleu,Blau,Blu,푸른,niebieski,Синий,Azul
'TGTE',Teal,青色,Sarcelle,Teal,Teal,물오리,Cyraneczka,чирок,Teal
'TGPU',Purple,紫色,Violet,Lila,Viola,보라색,Fioletowy,Фиолетовый,Púrpura
'TGYE',Yellow,黄色,Jaune,Gelb,Giallo,노랑,Żółty,Желтый,Amarillo
'TGOR',Orange,橙色,Orange,Orange,arancia,주황색,Pomarańczowy,апельсин,naranja
'TGGR',Green,绿色,Vert,Grün,verde,초록,Zielony,Зеленый,Verde
'TGPI',Pink,粉色,Rose,Rosa,Rosa,분홍,Różowy,Розовый,Rosa
'TGGG',Your team ran out of lives!,你的队伍用完了生命！,Votre équipe a manqué de vie!,Ihr Team lief aus Leben!,La tua squadra a corto di vita!,당신의 팀은 생활의 뛰쳐!,Twój zespół zabrakło życiu!,Ваша команда выбежала из жизни!,Su equipo se quedó sin vida!
'TCTE',Team {0} needs {1} more points to win,队伍{0}还需要{1}分来获胜,Équipe {0} {1} besoins plus de points pour gagner,Team {0} {1} Bedürfnisse mehr Punkte zu gewinnen,Team {0} {1} esigenze più punti per vincere,팀 {0} 필요 {1} 더 많은 포인트 승리,"Zespół {0} {1} potrzeby więcej punktów, aby wygrać","Команда {0} необходимо {1} больше очков, чтобы выиграть",Equipo {0} {1} necesidades más puntos para ganar
'TCNE',Team {0} only needs {1} more points to win!,队伍{0}只需要{1}分来获胜！,Équipe {0} n'a besoin que {1} plus de points à gagner!,Team {0} muss nur {1} mehr Punkte zu gewinnen!,Squadra {0} ha bisogno solo {1} più punti per vincere!,팀 {0} 만 승리 {1} 점을 더 필요 해요!,"Zespół potrzebuje {0} {1} tylko kilka punktów, aby wygrać!","Команда {0} требуется только {1} больше очков, чтобы выиграть!",Equipo {0} sólo necesita {1} más puntos para ganar!
'TCMR',{0} minutes remaining,剩余{0}分钟,{0} minutes restantes,{0} Minuten vor,{0} minuti rimanenti,나머지 {0} 분,{0} minut pozostałe,{0} минут до конца,{0} minutos restantes
'TCOR',Only {0} minutes remaining!,只剩余{0}分钟！,Seuls les {0} minutes restantes!,Nur {0} verbleibenden Minuten!,Solo {0} minuti dalla fine!,만 {0} 분 남아!,Tylko {0} minut przed końcem!,Только {0} минут осталось!,Sólo {0} minutos para el final!
'TCEG',Here to play. Forever stay.,来这里玩吧，永远留下来,Ici pour jouer. rester pour toujours.,Hier zu spielen. Für immer bleiben.,Qui per giocare. Per sempre rimanere.,재생하려면 여기. 영원히있어.,Tutaj do gry. Na zawsze pozostanie.,"Здесь, чтобы играть. Навсегда остаться.",Aquí para jugar. Siempre quedarse.
'LGI1',Black Ice,黑冰,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
'LGI2',Icetown,冰天雪地,Icetown,Icetown,Icetown,Icetown,Icetown,Icetown,Icetown
'LGL1',Landlubber,旱鸭子,Terrien,Landratte,marinaio di acqua dolce,풋내기 선원,Szczur lądowy,сухопутная крыса,Marinero de agua dulce
'LGFS',Four Seasons,四季,Quatre saisons,Vier Jahreszeiten,Quattro stagioni,사계절,Cztery pory roku,Four Seasons,Cuatro estaciones
'LG25',2.5 Dimensions,2.5D,"2,5 Dimensions",2.5 Maße,2.5 Dimensioni,2.5 치수,"2,5 Wymiary",2.5 Размеры,2.5 Dimensiones
'ENTR',Entrance,入口,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
'DOOR',Doors,门,Des portes,Türen,Porte,문,drzwi,двери,puertas
'LSCP',{0} has reached a checkpoint!,{0}已经达到了一个检查点！,{0} a atteint un point de contrôle!,{0} hat einen Kontrollpunkt erreicht!,{0} ha raggiunto un posto di blocco!,{0} 체크 포인트에 도달했습니다!,{0} osiągnął punkt kontrolny!,{0} достиг контрольной точки!,{0} ha llegado a un punto de control!
'LS3N',Now starting: {0},现在开始：{0},Maintenant à partir: {0},Jetzt beginnen: {0},Ora di partenza: {0},이제 시작 : {0},Zaczynając: {0},"Теперь, начиная: {0}","Ahora, empezando: {0}"
'LS2C',{0} continues remaining,剩余{0}次继续的机会,{0} continue restante,{0} weiterhin verbleibenden,{0} continua rimanenti,{0} 나머지 계속,{0} nadal pozostając,{0} продолжает оставаться,{0} sigue restante
'LS1A',You gained {0} points,你获得了{0}分,Vous avez acquis {0} points de,Sie gewann {0} Punkte,Avete guadagnato {0} punti,당신은 {0} 점을 얻은,Ci zdobyte punkty {0},Вы получили {0} точек,Que ganó {0} puntos
'LS1B',You gained {0} points ({1} total),你获得了{0}分（共{1}分）,Vous marqué des points {0} ({1} au total),Sie gewann {0} Punkte ({1} gesamt),Avete guadagnato {0} punti ({1} totale),당신이 얻은 {0} 점 ({1} 전체),Ci zdobyte punkty {0} ({1} ogółem),Вы получили {0} точек ({1} всего),Que ganó {0} puntos ({1} total)
'LSAH',{0} has cleared the level!,{0}过关了！,{0} a effacé le niveau!,{0} hat das Niveau gelöscht!,{0} ha eliminato il livello!,{0} 레벨을 클리어했다!,{0} wyczyszczone poziom!,{0} очистил уровень!,{0} ha despejado el nivel!
'LSAT',{0} team has just started: {1},队伍{0}刚刚开始了：{1},{0} équipe vient de commencer: {1},{0} Team hat gerade begonnen: {1},{0} squadra ha appena iniziato: {1},{0} 팀은 단지 시작했습니다 : {1},{0} zespół dopiero się zaczęła: {1},{0} команда только начала: {1},{0} equipo acaba de comenzar: {1}
